#GAIA_ID RA Dec SDSS-u err_SDSS-u SDSS-g err_SDSS-g SDSS-r err_SDSS-r SDSS-i err_SDSS-i SDSS-z err_SDSS-z UKIDSS_Y err_UKIDSS_Y UKIDSS_J err_UKIDSS_J UKIDSS_H err_UKIDSS_H UKIDSS_K err_UKIDSS_K 2MASS_J err_2MASS_J 2MASS_H err_2MASS_H 2MASS_K err_2MASS_K WISE_W1 err_WISE_W1 WISE_W2 err_WISE_W2 WISE_W3 err_WISE_W3 WISE_W4 err_WISE_W4
757174559299636608 170.12676992101015 31.597798767267864 19.318 0.027 19.006 0.01 18.945 0.011 18.667 0.012 18.844 0.04 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 15.398 0.04 14.23 0.045 11.255 0.154 8.563 0.395
757178648108531072 170.33758722435957 31.729164519385066 19.803 0.039 19.594 0.013 19.337 0.015 19.296 0.019 19.296 0.07 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 15.597 0.042 14.341 0.048 11.138 0.143 8.865 0.426
757218161807354496 170.61351498891392 32.15627241252043 18.66 0.018 18.474 0.007 18.423 0.008 18.213 0.01 18.17 0.02 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 15.248 0.037 13.852 0.037 10.6 0.109 8.786 0.532
757284544821958528 170.41722959611172 32.396305350155956 18.731 0.019 18.103 0.006 17.644 0.006 17.466 0.007 17.392 0.01 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 16.586 0.126 16.124 0.211 15.793 0.233 15.324 0.038 14.295 0.046 11.059 0.129 8.837 0.397
757422533531378304 170.85043399320762 33.108559205570984 18.684 0.018 18.483 0.007 18.717 0.009 18.657 0.012 18.744 0.03 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 14.153 0.027 13.234 0.029 10.77 0.098 8.061 0.223
757427726147119616 170.99978774138336 33.120748612164014 19.273 0.024 19.126 0.01 18.765 0.01 18.696 0.012 18.725 0.03 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 15.343 0.039 13.992 0.04 11.039 0.125 8.51 0.313
757595500454093568 170.0297309063614 32.96012304238214 19.335 0.026 18.719 0.008 18.53 0.009 18.518 0.011 18.533 0.03 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 15.209 0.035 13.988 0.041 10.939 0.145 8.162 0.318
757631719913688576 170.52232121694453 33.35056714864335 17.434 0.015 16.082 0.003 15.438 0.003 15.062 0.003 14.78 0.0 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 14.447 0.047 13.743 0.051 13.366 0.048 12.649 0.03 12.561 0.033 8.823 0.038 5.967 0.067
757640653445658624 170.71602480750548 33.55627968911155 18.198 0.017 16.227 0.003 15.372 0.003 14.951 0.003 14.63 0.0 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 13.856 0.035 13.169 0.041 12.824 0.038 12.565 0.034 12.606 0.037 11.657 0.261 99.999 99.999
757641920462911616 170.60627081819163 33.59034851538517 18.912 0.03 18.527 0.012 18.425 0.014 19.636 0.036 18.22 0.04 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999
758880279791571200 171.29815509194367 33.193564206963224 19.432 0.026 19.422 0.012 19.033 0.011 19.001 0.014 19.109 0.05 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 99.999 15.784 0.049 14.522 0.052 11.505 0.171 99.999 99.999
