angDist,source_id,ra,dec,l,b,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ref_epoch,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M
1.420064,3961812627084176896,192.48112004095455,27.39421704043421,174.50910475477832,89.57121226393568,0.009883360749010459,0.25118494,-0.21547182972221574,0.27279872,-0.0329139437898036,0.27559903,18.999037,473.5129013334513,1.8930101,19.349358,18.670874,0.67848396,2016.0,J124955.57+272339.5,192.4815493,+27.3943189,0.1120,0.1021,10.1,15.662,14.746,11.681,8.721,,,,0.044,0.059,0.210,0.366,,,,1926127201351034584,0000,0,00nn,AABC,329,362,-45,397,
0.259838,3961816612813792384,192.19224481825466,27.28963966651746,197.56463448327406,89.3850433887656,0.03320057637455316,0.26906967,0.015861384807989435,0.23336239,-0.24570231259041064,0.25233403,18.957657,491.9078689223363,1.3944107,19.28057,18.442305,0.83826447,2016.0,J124846.15+271722.7,192.1923244,+27.2896541,0.0771,0.0725,3.6,15.235,13.944,10.921,8.418,,,,0.037,0.039,0.095,0.257,,,,1926127201351034505,0000,0,110n,AAAB,175,230,313,248,
0.239340,3961825374547123584,192.35819347034032,27.44292963213195,177.58227602819514,89.45456351029668,-0.11262062940933792,0.15370266,0.07985631006844035,0.17717198,-0.18773900813109087,0.18057047,18.291658,908.4137726173022,2.4543748,18.427168,18.020786,0.4063816,2016.0,J124925.94+272634.4,192.3581214,+27.4429115,0.0630,0.0598,173.6,14.816,13.451,10.520,8.202,,,,0.031,0.032,0.075,0.291,,,,1926127201351042024,0000,0,000n,AAAB,246,188,29,199,
0.359386,3961943232745599744,193.0086752184355,27.838502740695052,112.41011692949155,89.27752015738534,-0.09122360954451551,0.24144113,0.08806330608743047,0.23094925,0.2708187950899402,0.2426229,18.830465,553.0455653813619,3.3429816,19.016724,18.497908,0.518816,2016.0,J125202.07+275018.2,193.0086519,+27.8384051,0.1281,0.1162,17.2,15.938,14.766,11.362,9.199,,,,0.052,0.064,0.150,0.541,,,,1926127201351055082,0000,0,00nn,AABC,534,420,676,457,
0.068840,3961953403228165376,193.2045067403104,28.065665589079853,104.94596699220533,89.01397722992519,0.17774694875770805,0.23135513,-0.01541635265338113,0.28027463,-0.3287562905598157,0.24554487,18.914669,511.7749179152201,1.8278944,19.017519,18.642462,0.37505722,2016.0,J125249.08+280356.4,193.2045100,+28.0656845,0.0814,0.0765,11.5,15.255,14.247,11.500,8.572,,,,0.035,0.044,0.173,,,,,1937128701351007631,0000,0,11nn,AABU,386,239,20,258,
0.053872,3961955121215050496,192.80109750698728,27.872884893267305,126.89669858950111,89.25356660848887,0.21069963447524215,0.21191916,-0.19311186528642002,0.18466066,-0.02303506427605964,0.19263923,18.779465,579.6436764487613,1.2988763,18.959818,18.479593,0.4802246,2016.0,J125112.25+275222.4,192.8010828,+27.8728924,0.0743,0.0700,5.0,15.213,13.974,11.243,8.873,,,,0.034,0.039,0.137,0.444,,,,1926127201351057778,0000,0,00nn,AABC,238,215,231,233,
0.202966,3961971265996658816,193.01430524252257,28.259513040860785,116.05824503354128,88.86046134992577,-0.11130896952314874,0.24125515,0.33062021588943313,0.22369264,0.1998977301618584,0.24060594,18.92032,509.11801572606566,1.7203153,19.078703,18.59476,0.48394203,2016.0,J125203.42+281534.0,193.0142725,+28.2594646,0.1326,0.1211,16.0,16.042,14.779,11.963,9.016,,,,0.056,0.060,0.263,,,,,1937128701351010223,0000,0,01nn,AABU,607,431,-620,470,
0.252471,3961994080863232000,192.11271800208098,27.940211420243806,161.95825665772637,88.95226488891284,0.17020798709957904,0.22293267,0.04991630066482394,0.216458,0.007777129549632746,0.22105636,18.834103,551.1953630573264,2.7731004,18.918863,18.590479,0.3283844,2016.0,J124827.03+275624.9,192.1126647,+27.9402634,0.0702,0.0667,12.8,14.930,14.000,11.726,9.081,,,,0.032,0.039,0.217,0.457,,,,1926127201351063255,0000,0,11nn,AABC,275,177,336,191,
0.723751,3962003224848695936,192.25699551316006,28.145237559715884,150.48450652179577,88.85146484377195,-0.2634053762645877,0.2850581,-0.2887513910676987,0.32619625,0.22047776119688414,0.3398895,17.630808,1669.6443273228992,18.897467,16.20776,15.09155,1.11621,2016.0,J124901.73+280842.8,192.2572235,+28.1452407,0.0649,0.0437,78.6,12.511,12.420,10.915,8.432,13.872,13.245,12.829,0.032,0.035,0.156,,0.037,0.049,0.040,1920128701351002638,0000,4,nnnn,AABU,26,49,140,50,0.551
0.145039,3962026829988970496,192.57476069861775,28.265414560235417,135.36561987609707,88.83522887367154,-0.21453136735561545,0.21828035,-0.10477925869051191,0.21743697,0.12536277624956388,0.22244015,18.983345,480.40665896842427,1.6372684,19.14342,18.680904,0.46251488,2016.0,J125017.94+281555.3,192.5747837,+28.2653797,0.1447,0.1317,21.8,16.166,15.323,12.122,8.810,,,,0.054,0.085,0.294,,,,,1920128701351000259,0000,0,0nnn,AABU,-402,487,183,524,
0.094512,3962030055509187840,192.32670532338662,28.295448586388574,144.8121204516561,88.7411095635911,-0.04021649406255187,0.14732558,0.29748150792811107,0.16956219,-0.005792778424864117,0.14751525,18.204914,983.9677239137532,4.5827456,18.315119,17.81761,0.497509,2016.0,J124918.41+281743.6,192.3267351,+28.2954487,0.0763,0.0717,14.9,15.280,13.835,10.514,8.603,,,,0.038,0.036,0.077,0.322,,,,1920128701351002702,0000,0,000n,AAAB,309,242,495,256,
0.028965,3962252367311419776,190.91423620129905,27.55107334806104,198.73666713260866,88.22108530279652,0.032879961603519185,0.14245564,-0.0973808208821501,0.13845329,-0.21042645838087937,0.13682094,18.135443,1048.9854342799197,7.4677753,18.110298,17.509462,0.6008358,2016.0,J124339.41+273303.8,190.9142271,+27.5510732,0.0448,0.0437,142.6,13.785,12.820,10.211,7.943,,,,0.025,0.024,0.067,0.205,,,,1909127201351046009,0000,0,000n,AAAB,245,118,222,117,
0.059620,3962255008715515648,190.17766293724276,27.094101990329886,213.14016133686096,87.61265154842678,0.058321841522630785,0.17500463,-0.17508009246356476,0.19164202,0.1838776109147211,0.17943664,18.49765,751.4271969060025,3.1916585,18.638775,18.231548,0.40722656,2016.0,J124042.63+270538.7,190.1776515,+27.0940889,0.0684,0.0650,178.3,14.890,13.654,10.957,8.863,,,,0.033,0.035,0.113,0.472,,,,1909127201351013610,0000,0,011n,AABC,104,197,38,209,
0.072075,3962263495571199744,190.4062878703625,27.243653964172072,209.34466199619382,87.81480187529243,0.16374482902614934,0.22277705,-0.32219088896502257,0.20776607,-0.13620825577942333,0.24030337,18.825691,555.4827667932593,3.1311557,18.78431,18.47187,0.31243896,2016.0,J124137.51+271437.2,190.4063050,+27.2436670,0.0589,0.0554,179.8,14.455,13.350,10.547,8.180,,,,0.030,0.032,0.077,0.277,,,,1909127201351037862,0000,0,110n,AAAB,180,152,71,164,
0.234222,3962281912391047680,190.29763847314703,27.427058531553154,204.86973359323093,87.70356662389837,0.04976251099821517,0.16318093,0.07974601713896576,0.18676604,-0.09730622336325442,0.20170869,18.437654,794.1175153798338,2.9769528,18.699415,18.05289,0.6465244,2016.0,J124111.42+272537.5,190.2975906,+27.4271078,0.0784,0.0729,10.1,15.239,13.949,11.029,8.698,,,,0.037,0.038,0.115,0.329,,,,1909127201351040470,0000,0,000n,AABB,112,233,-190,252,
0.030022,3962475671250959616,190.17583997901104,27.604642978932446,201.01330219851516,87.56961126297979,0.21358109547886506,0.19078144,0.09142477805902473,0.17952095,-0.1170932593805768,0.17762248,18.449186,785.7278963656648,1.4667413,18.645552,18.05641,0.58914185,2016.0,J124042.20+273616.7,190.1758482,+27.6046390,0.0722,0.0683,11.9,15.233,13.877,10.599,8.912,,,,0.036,0.035,0.078,0.382,,,,1909127201351040451,0000,0,110n,AAAC,321,224,153,240,
