#angDist  RA_ICRS    DE_ICRS   umag   gmag   rmag   imag   zmag   e_umag e_gmag e_rmag e_imag  e_zm source_id          
0.029068 177.765025 45.833635 19.875 19.630 19.449 19.463 19.248 0.042  0.013  0.015  0.021   0.05 774161945229591296 
0.046062 177.765025 45.833640 19.847 19.593 19.445 19.438 19.203 0.042  0.013  0.015  0.021   0.05 774161945229591296 
0.053083 177.765030 45.833641 19.891 19.574 19.424 19.402 19.164 0.044  0.013  0.015  0.021   0.05 774161945229591296 
0.057367 177.765032 45.833642 19.921 19.612 19.430 19.452 19.210 0.044  0.013  0.015  0.022   0.05 774161945229591296 
0.151810 177.765078 45.833611 99.999 99.999 99.999 99.999 99.999 9.999  9.999  9.999  9.999  9.999  774161945229591296 
0.157886 177.765081 45.833611 99.999 99.999 99.999 99.999 99.999 9.999  9.999  9.999  9.999  9.999  774161945229591296 
0.024040 178.130759 46.028238 18.629 18.583 18.588 18.433 18.313 0.015  0.008  0.008  0.010   0.02 774170638242838272 
0.043825 178.130761 46.028244 18.642 18.585 18.589 18.430 18.321 0.016  0.008  0.008  0.010   0.02 774170638242838272 
0.045334 178.130777 46.028240 18.607 18.691 18.614 18.424 18.350 0.019  0.008  0.009  0.010   0.02 774170638242838272 
0.056204 178.130741 46.028234 18.614 18.694 18.625 18.425 18.360 0.019  0.008  0.009  0.010   0.02 774170638242838272 
0.007215 176.653687 47.387059 19.232 18.894 18.762 18.526 18.395 0.023  0.008  0.009  0.010   0.02 786350993695853056 
0.007215 176.653687 47.387059 19.232 18.894 18.762 18.526 18.395 0.024  0.008  0.009  0.010   0.02 786350993695853056 
0.026734 176.653698 47.387056 19.225 18.888 18.753 18.514 18.370 0.025  0.008  0.009  0.010   0.03 786350993695853056 
0.071097 176.736388 47.465457 19.487 19.074 19.121 19.100 19.146 0.031  0.009  0.013  0.018   0.05 786352574243856768 
0.088119 176.736393 47.465461 19.519 19.081 19.135 19.090 19.137 0.031  0.009  0.013  0.017   0.05 786352574243856768 
0.018456 176.343256 47.409367 18.935 18.698 18.418 18.411 18.451 0.022  0.008  0.008  0.011   0.03 786359892868102528 
0.027840 176.343261 47.409366 18.914 18.699 18.417 18.409 18.445 0.022  0.008  0.008  0.011   0.03 786359892868102528 
0.008038 176.319653 47.468507 18.773 18.433 18.386 18.163 18.214 0.020  0.007  0.008  0.009   0.03 786361061099234048 
0.026041 176.319662 47.468509 18.752 18.433 18.383 18.159 18.199 0.020  0.007  0.008  0.009   0.03 786361061099234048 
0.067492 174.520368 40.021937 19.715 19.000 18.234 18.150 17.355 0.036  0.010  0.008  0.009   0.01 767435614126969216 
0.079409 174.520358 40.021936 19.744 19.003 18.239 18.156 17.358 0.036  0.010  0.008  0.009   0.01 767435614126969216 
0.079947 174.520358 40.021935 19.745 19.004 18.242 18.159 17.362 0.036  0.010  0.008  0.009   0.01 767435614126969216 
0.006324 175.288372 39.839164 18.181 18.014 17.982 17.906 17.626 0.013  0.006  0.006  0.007   0.02 767453932162833536 
0.011053 175.288369 39.839167 18.189 18.015 17.983 17.902 17.642 0.014  0.006  0.006  0.007   0.01 767453932162833536 
0.011053 175.288369 39.839167 18.189 18.015 17.983 17.902 17.642 0.014  0.006  0.006  0.007   0.01 767453932162833536 
0.050669 178.828934 46.239933 19.213 19.014 18.789 18.641 18.618 0.022  0.009  0.010  0.011   0.03 774218604438112256 
0.062161 178.828936 46.239939 19.220 19.017 18.799 18.648 18.649 0.022  0.009  0.010  0.011   0.03 774218604438112256 
0.018108 174.889552 39.943631 18.461 18.362 18.252 18.142 17.980 0.016  0.007  0.007  0.008   0.02 767466988863400192 
0.027380 174.889550 39.943635 18.473 18.365 18.250 18.140 17.982 0.016  0.007  0.007  0.008   0.02 767466988863400192 
0.027380 174.889550 39.943635 18.473 18.365 18.250 18.140 17.982 0.016  0.007  0.007  0.008   0.02 767466988863400192 
0.018239 175.578658 40.313271 18.544 18.244 18.389 18.308 18.358 0.015  0.006  0.008  0.009   0.02 767493338487188480 
0.027480 175.578651 40.313268 18.547 18.252 18.399 18.314 18.379 0.015  0.006  0.008  0.009   0.02 767493338487188480 
0.027502 175.578651 40.313268 18.547 18.252 18.399 18.314 18.377 0.015  0.006  0.008  0.009   0.02 767493338487188480 
0.026374 176.205356 47.760468 18.629 18.470 18.348 18.197 18.029 0.016  0.007  0.008  0.009   0.02 786428681064573312 
