angDist,source_id,ra,dec,l,b,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ref_epoch,objID,RA_ICRS,DE_ICRS,errHalfMaj,errHalfMin,errPosAng,mode,class,clean,e_RA_ICRS,e_DE_ICRS,umag,gmag,rmag,imag,zmag,e_umag,e_gmag,e_rmag,e_imag,e_zmag,zsp,e_zsp,f_zsp,spCl,subCl,pmRA,pmDE,e_pmRA,e_pmDE,sigRA,sigDE,zph,e_zph,<zph>,Q,SDSS16,Sp-ID,MJD
0.027328,3961812627084176896,192.48112004095455,27.39421704043421,174.50910475477832,89.57121226393568,0.009883360749010459,0.25118494,-0.21547182972221574,0.27279872,-0.0329139437898036,0.27559903,18.999037,473.5129013334513,1.8930101,19.349358,18.670874,0.67848396,2016.0,1237667323259912209,192.481125,27.394211,0.006,0.005,90,1,6,1,0.006,0.005,18.876,18.939,19.025,18.753,18.596,0.020,0.009,0.011,0.012,0.034,2.02455,0.00013,0,QSO,BROADLINE,-3.49,0.20,2.83,2.83,50.80,171.61,,,,3,SDSS J124955.47+272339.1,5987-56339-0746,53360.4917
0.027657,3961812627084176896,192.48112004095455,27.39421704043421,174.50910475477832,89.57121226393568,0.009883360749010459,0.25118494,-0.21547182972221574,0.27279872,-0.0329139437898036,0.27559903,18.999037,473.5129013334513,1.8930101,19.349358,18.670874,0.67848396,2016.0,1237667323259912208,192.481125,27.394211,0.006,0.005,90,3,6,0,0.006,0.005,18.852,18.928,19.013,18.741,18.566,0.019,0.009,0.011,0.012,0.034,,,,,,,,,,,,,,,3,SDSS J124955.47+272339.1,,53360.4917
0.030625,3961812627084176896,192.48112004095455,27.39421704043421,174.50910475477832,89.57121226393568,0.009883360749010459,0.25118494,-0.21547182972221574,0.27279872,-0.0329139437898036,0.27559903,18.999037,473.5129013334513,1.8930101,19.349358,18.670874,0.67848396,2016.0,1237667323259912207,192.481129,27.394215,0.006,0.005,90,3,6,0,0.006,0.005,18.841,18.920,19.012,18.735,18.553,0.019,0.009,0.011,0.012,0.035,,,,,,,,,,,,,,,3,SDSS J124955.47+272339.1,,53360.4917
0.043863,3961816612813792384,192.19224481825466,27.28963966651746,197.56463448327406,89.3850433887656,0.03320057637455316,0.26906967,0.015861384807989435,0.23336239,-0.24570231259041064,0.25233403,18.957657,491.9078689223363,1.3944107,19.28057,18.442305,0.83826447,2016.0,1237667442973868248,192.192257,27.289646,0.007,0.006,90,1,6,1,0.007,0.006,19.780,19.416,19.070,18.826,18.673,0.035,0.012,0.012,0.013,0.036,1.51402,0.00052,0,QSO,BROADLINE,-6.81,3.58,3.02,3.02,139.89,48.95,,,,3,SDSS J124846.14+271722.7,2240-53823-0303,53388.3976
0.048366,3961816612813792384,192.19224481825466,27.28963966651746,197.56463448327406,89.3850433887656,0.03320057637455316,0.26906967,0.015861384807989435,0.23336239,-0.24570231259041064,0.25233403,18.957657,491.9078689223363,1.3944107,19.28057,18.442305,0.83826447,2016.0,1237667442973868247,192.192257,27.289647,0.007,0.006,90,3,6,0,0.007,0.006,19.730,19.403,19.061,18.822,18.665,0.035,0.011,0.012,0.013,0.038,,,,,,,,,,,,,,,3,SDSS J124846.14+271722.7,,53388.3976
0.059628,3961825374547123584,192.35819347034032,27.44292963213195,177.58227602819514,89.45456351029668,-0.11262062940933792,0.15370266,0.07985631006844035,0.17717198,-0.18773900813109087,0.18057047,18.291658,908.4137726173022,2.4543748,18.427168,18.020786,0.4063816,2016.0,1237667323259846839,192.358206,27.442942,0.004,0.003,90,1,6,1,0.004,0.003,18.665,18.525,18.346,18.402,18.468,0.018,0.007,0.008,0.010,0.031,1.15581,0.00022,0,QSO,BROADLINE,-3.03,0.07,2.70,2.70,114.20,108.41,,,,3,SDSS J124925.96+272634.5,2240-53823-0311,53360.4913
0.059628,3961825374547123584,192.35819347034032,27.44292963213195,177.58227602819514,89.45456351029668,-0.11262062940933792,0.15370266,0.07985631006844035,0.17717198,-0.18773900813109087,0.18057047,18.291658,908.4137726173022,2.4543748,18.427168,18.020786,0.4063816,2016.0,1237667323259846838,192.358206,27.442942,0.004,0.003,90,3,6,0,0.004,0.003,18.665,18.525,18.345,18.401,18.466,0.018,0.007,0.008,0.010,0.031,,,,,,,,,,,,,,,3,SDSS J124925.96+272634.5,,53360.4913
0.073673,3961825374547123584,192.35819347034032,27.44292963213195,177.58227602819514,89.45456351029668,-0.11262062940933792,0.15370266,0.07985631006844035,0.17717198,-0.18773900813109087,0.18057047,18.291658,908.4137726173022,2.4543748,18.427168,18.020786,0.4063816,2016.0,1237667323259846837,192.358209,27.442945,0.004,0.003,90,3,6,0,0.004,0.003,18.665,18.520,18.344,18.401,18.431,0.018,0.007,0.008,0.010,0.031,,,,,,,,,,,,,,,3,SDSS J124925.97+272634.6,,53360.4913
0.134889,3961943232745599744,193.0086752184355,27.838502740695052,112.41011692949155,89.27752015738534,-0.09122360954451551,0.24144113,0.08806330608743047,0.23094925,0.2708187950899402,0.2426229,18.830465,553.0455653813619,3.3429816,19.016724,18.497908,0.518816,2016.0,1237667323796979746,193.008718,27.838501,0.006,0.005,90,1,6,1,0.006,0.005,19.287,18.765,18.694,18.729,18.504,0.023,0.008,0.009,0.012,0.028,2.48468,0.00024,0,QSO,BROADLINE,4.75,-1.16,2.87,2.87,175.50,104.29,,,,3,SDSS J125202.09+275018.6,6480-56340-0310,53360.4929
0.141950,3961943232745599744,193.0086752184355,27.838502740695052,112.41011692949155,89.27752015738534,-0.09122360954451551,0.24144113,0.08806330608743047,0.23094925,0.2708187950899402,0.2426229,18.830465,553.0455653813619,3.3429816,19.016724,18.497908,0.518816,2016.0,1237667323796979745,193.008720,27.838503,0.006,0.005,90,3,6,0,0.006,0.005,19.273,18.766,18.692,18.736,18.495,0.023,0.008,0.009,0.012,0.030,,,,,,,,,,,,,,,3,SDSS J125202.09+275018.6,,53360.4929
