Filename,Object_name,RA,Dec,GAIA_ID,GAIA_Gmag,Type,Subtype,Method,Chi2,z,z_std,AB,AB_std,compoM_AB,compoM_AB_std,best_compoM_extinct_params,best_compoM_Chi2,LOF_val,SDSS-u,err_SDSS-u,SDSS-g,err_SDSS-g,SDSS-r,err_SDSS-r,SDSS-i,err_SDSS-i,SDSS-z,err_SDSS-z,SDSS_phot_method,UKIDSS_Y,err_UKIDSS_Y,UKIDSS_J,err_UKIDSS_J,UKIDSS_H,err_UKIDSS_H,UKIDSS_K,err_UKIDSS_K,UKIDSS_phot_method,WISE_W1,err_WISE_W1,WISE_W2,err_WISE_W2,WISE_W3,err_WISE_W3,WISE_W4,err_WISE_W4,WISE_phot_method
spec-3377-54950-0596.fits,SDSS J132457.51+325145.9,201.23964674703825,32.86275045496121,1.4695358120862372e+18,17.923059463500977,QSO,QSO,xPCA,37895.47325334886,1.7479062980966789,0.0002335454361177514,,,0.09875325315887278,0.0009652802883893738,SMC,48092.96113701087,-1.2924893946247913,18.313,0.014,18.041,0.006,17.821,0.006,17.581,0.006,17.498,0.01,Surveyphotometry.dat crossmatch,99.999,99.999,16.564,0.014,16.14,0.024,15.641,0.022,Surveyphotometry.dat crossmatch,14.783,0.032,13.684,0.036,10.54,0.09,8.58,0.421,Surveyphotometry.dat crossmatch
spec-5878-56033-0168.fits,spec-5878-56033-0168,170.62378,18.090668,,,UNKNOWN,,,,,,,,,,,,,18.298,0.017,17.807,0.006,17.265,0.005,17.106,0.006,17.035,0.01,Surveyphotometry.dat crossmatch,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,Surveyphotometry.dat crossmatch,13.485,0.025,12.355,0.024,9.402,0.039,6.689,0.076,Surveyphotometry.dat crossmatch
spec-2009-53857-0075.fits,SDSS J131259.02+283600.7,198.24590682377183,28.600188091913395,1.461042600157797e+18,18.28989028930664,QSO,QSO,xPCA,5694.841231692988,1.999279168117146,0.0010895486126478498,,,4.721029010432143e-09,0.0001401254898633652,LMC,7986.941327659639,-1.1159854907722502,18.853,0.022,18.661,0.008,18.654,0.009,18.564,0.012,18.428,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,17.609,0.029,17.221,0.038,16.635,0.039,Surveyphotometry.dat crossmatch,15.514,0.043,14.144,0.045,11.004,0.142,99.999,99.999,Surveyphotometry.dat crossmatch
spec-1442-53050-0144.fits,spec-1442-53050-0144,173.38157,46.250646,,,UNKNOWN,,,,,,,,,,,,,18.715,0.017,18.483,0.007,18.538,0.009,18.661,0.012,18.676,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,Surveyphotometry.dat crossmatch,14.61,0.03,13.577,0.031,10.717,0.093,8.231,0.23,Surveyphotometry.dat crossmatch
spec-1452-53112-0155.fits,spec-1452-53112-0155,186.79051,42.277381,,,UNKNOWN,,,,,,,,,,,,,18.917,0.022,18.787,0.008,18.474,0.008,18.474,0.01,18.544,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,Surveyphotometry.dat crossmatch,15.39,0.039,14.229,0.044,11.441,0.167,8.589,0.345,Surveyphotometry.dat crossmatch
spec-2013-53818-0312.fits,spec-2013-53818-0312,184.35136,31.763025,,,UNKNOWN,,,,,,,,,,,,,18.316,0.015,17.898,0.006,18.05,0.007,18.015,0.008,18.018,0.02,Surveyphotometry.dat crossmatch,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,Surveyphotometry.dat crossmatch,14.452,0.029,13.522,0.031,10.919,0.1,8.567,0.309,Surveyphotometry.dat crossmatch
spec-2093-53818-0296.fits,SDSS J131014.55+324304.2,197.5606604362117,32.71785034440505,1.4668004290179886e+18,18.501283645629883,QSO,QSO-MIDZ,xPCA,14231.533096233314,1.221611933876714,0.001181211402196789,,,0.18364778161969803,0.0032609658233787586,SMC,20737.519495672826,-1.6054731909088402,19.238,0.024,18.786,0.009,18.483,0.008,18.219,0.009,18.133,0.02,Surveyphotometry.dat crossmatch,99.999,99.999,17.207,0.024,16.837,0.03,16.363,0.034,Surveyphotometry.dat crossmatch,15.345,0.039,13.94,0.037,10.718,0.09,8.064,0.214,Surveyphotometry.dat crossmatch
spec-1375-53084-0318.fits,spec-1375-53084-0318,196.36131,43.977487,,,UNKNOWN,,,,,,,,,,,,,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,99.999,9.999,Surveyphotometry.dat crossmatch,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,Surveyphotometry.dat crossmatch,15.662,0.04,14.497,0.045,11.202,0.114,8.66,0.344,Surveyphotometry.dat crossmatch
spec-2014-53460-0440.fits,spec-2014-53460-0440,207.08974,38.563637,,,UNKNOWN,,,,,,,,,,,,,18.5,0.014,18.473,0.007,18.221,0.007,18.092,0.008,17.945,0.01,Surveyphotometry.dat crossmatch,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,Surveyphotometry.dat crossmatch,13.285,0.024,12.334,0.023,9.572,0.036,7.177,0.092,Surveyphotometry.dat crossmatch
spec-6411-56331-0456.fits,spec-6411-56331-0456,177.05754,25.580043,,,UNKNOWN,,,,,,,,,,,,,19.35,0.028,18.909,0.009,18.844,0.011,18.734,0.016,18.594,0.04,Surveyphotometry.dat crossmatch,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,Surveyphotometry.dat crossmatch,15.853,0.05,14.699,0.059,11.379,0.193,99.999,99.999,Surveyphotometry.dat crossmatch
