Filename,Object_name,RA,Dec,GAIA_ID,GAIA_Gmag,Type,Subtype,Method,Chi2,z,z_std,AB,AB_std,compoM_AB,compoM_AB_std,best_compoM_extinct_params,best_compoM_Chi2,LOF_val,SDSS-u,err_SDSS-u,SDSS-g,err_SDSS-g,SDSS-r,err_SDSS-r,SDSS-i,err_SDSS-i,SDSS-z,err_SDSS-z,SDSS_phot_method,UKIDSS_Y,err_UKIDSS_Y,UKIDSS_J,err_UKIDSS_J,UKIDSS_H,err_UKIDSS_H,UKIDSS_K,err_UKIDSS_K,UKIDSS_phot_method,WISE_W1,err_WISE_W1,WISE_W2,err_WISE_W2,WISE_W3,err_WISE_W3,WISE_W4,err_WISE_W4,WISE_phot_method
spec-3377-54950-0596.fits,SDSS J132457.51+325145.9,201.23964674703825,32.86275045496121,1.4695358120862372e+18,17.923059463500977,QSO,QSO,xPCA,37895.47325334886,1.7479062980966789,0.0002335454361177514,,,0.09875325315887278,0.0009652802883893738,SMC,48092.96113701087,-1.2924893946247913,18.313,0.014,18.041,0.006,17.821,0.006,17.581,0.006,17.498,0.01,Surveyphotometry.dat crossmatch,99.999,99.999,16.564,0.014,16.14,0.024,15.641,0.022,Surveyphotometry.dat crossmatch,14.783,0.032,13.684,0.036,10.54,0.09,8.58,0.421,Surveyphotometry.dat crossmatch
spec-2009-53857-0075.fits,SDSS J131259.02+283600.7,198.24590682377183,28.600188091913395,1.461042600157797e+18,18.28989028930664,QSO,QSO,xPCA,5694.841231692988,1.999279168117146,0.0010895486126478498,,,4.721029010432143e-09,0.0001401254898633652,LMC,7986.941327659639,-1.1159854907722502,18.853,0.022,18.661,0.008,18.654,0.009,18.564,0.012,18.428,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,17.609,0.029,17.221,0.038,16.635,0.039,Surveyphotometry.dat crossmatch,15.514,0.043,14.144,0.045,11.004,0.142,99.999,99.999,Surveyphotometry.dat crossmatch
spec-2093-53818-0296.fits,SDSS J131014.55+324304.2,197.5606604362117,32.71785034440505,1.4668004290179886e+18,18.501283645629883,QSO,QSO-MIDZ,xPCA,14231.533096233314,1.221611933876714,0.001181211402196789,,,0.18364778161969803,0.0032609658233787586,SMC,20737.519495672826,-1.6054731909088402,19.238,0.024,18.786,0.009,18.483,0.008,18.219,0.009,18.133,0.02,Surveyphotometry.dat crossmatch,99.999,99.999,17.207,0.024,16.837,0.03,16.363,0.034,Surveyphotometry.dat crossmatch,15.345,0.039,13.94,0.037,10.718,0.09,8.064,0.214,Surveyphotometry.dat crossmatch
spec-2664-54524-0621.fits,SDSS J132803.14+241854.0,202.0130906904075,24.3149775499502,1.4463717477877857e+18,18.06509780883789,QSO,QSO,xPCA,7376.138924655602,1.713376129243414,0.0002882423337016781,,,0.07677855093318113,0.0027567663087823616,SMC,7564.287352954314,-1.2412195021309032,18.779,0.019,18.605,0.008,18.58,0.009,18.331,0.009,18.325,0.02,Surveyphotometry.dat crossmatch,99.999,99.999,17.354,0.021,16.851,0.026,16.459,0.034,Surveyphotometry.dat crossmatch,15.222,0.038,14.028,0.039,10.854,0.105,8.593,0.391,Surveyphotometry.dat crossmatch
spec-6486-56328-0724.fits,SDSS J131347.68+294201.3,198.44867455552924,29.70037870069506,1.4626652388023624e+18,18.191204071044922,BAL_QSO,QSO,xPCA,32917.62938334831,2.052646472914589,0.00010816851430961052,,,0.012383264427110349,0.0006044701045495966,SMC,45746.540971903545,-0.9866771816777412,18.261,0.015,18.18,0.006,18.064,0.007,17.948,0.008,17.749,0.02,Surveyphotometry.dat crossmatch,99.999,99.999,17.139,0.018,16.717,0.028,16.187,0.03,Surveyphotometry.dat crossmatch,15.118,0.033,13.698,0.032,10.008,0.05,7.839,0.144,Surveyphotometry.dat crossmatch
spec-2240-53823-0048.fits,SDSS J125652.11+260708.0,194.21715643524345,26.118914848308048,3.958526324267568e+18,18.04241180419922,QSO,QSO,xPCA,3705.578926982449,1.7166269203150395,0.000245016164649816,,,4.487198373287482e-12,1.0631076368775196e-05,SMC,10752.936289393014,-1.2117425964608275,18.394,0.014,18.33,0.007,18.336,0.008,18.211,0.009,18.168,0.02,Surveyphotometry.dat crossmatch,99.999,99.999,17.257,0.022,16.808,0.021,16.357,0.032,Surveyphotometry.dat crossmatch,15.44,0.039,14.247,0.042,11.156,0.14,8.798,0.383,Surveyphotometry.dat crossmatch
spec-2661-54505-0220.fits,SDSS J124936.35+245509.4,192.40146567416,24.919309415360004,3.957982585703842e+18,18.90654945373535,QSO,QSO,xPCA,4147.972693216689,1.7165018179026514,0.0005512817362544083,,,0.3106731819508885,0.003720660440998197,SMC,4555.002486096359,-1.2435357132270144,19.481,0.031,19.229,0.01,18.994,0.011,18.708,0.011,18.763,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,18.187,0.054,17.517,0.053,17.101,0.061,Surveyphotometry.dat crossmatch,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,Surveyphotometry.dat crossmatch
spec-1993-53762-0536.fits,SDSS J133321.15+353350.7,203.3381485141905,35.564101705967474,1.471886529290074e+18,18.576213836669922,QSO,QSO,xPCA,20271.811849700305,2.5604918828006618,0.00019290729259122317,,,6.365077193613844e-13,1.5988028054300782e-05,SMC,23464.46979215721,-1.111196082763763,19.195,0.022,18.441,0.007,18.476,0.008,18.448,0.01,18.241,0.02,Surveyphotometry.dat crossmatch,99.999,99.999,17.44,0.032,16.966,0.056,16.147,0.036,Surveyphotometry.dat crossmatch,15.643,0.041,14.837,0.057,11.376,0.156,99.999,99.999,Surveyphotometry.dat crossmatch
spec-2238-54205-0429.fits,SDSS J124319.89+274431.8,190.8329023596408,27.742178656022077,3.962679660722396e+18,18.498422622680664,QSO,QSO-MIDZ,xPCA,5860.75792921617,0.5623200273093372,0.00011931631174675632,,,0.3313805875549857,0.004807277035689644,MW,6877.4167771909415,-1.7411058170759548,18.484,0.017,18.207,0.006,18.262,0.008,18.132,0.009,18.199,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,17.554,0.027,16.935,0.037,15.937,0.023,Surveyphotometry.dat crossmatch,14.412,0.029,13.262,0.029,10.258,0.07,7.704,0.208,Surveyphotometry.dat crossmatch
spec-2245-54208-0399.fits,SDSS J133118.76+260933.1,202.82818570494217,26.159194602793256,1.448151749738873e+18,18.568920135498047,QSO,QSO-MIDZ,xPCA,3657.4127544571957,1.3016008008807436,0.00027441567841220453,,,8.755271627049893e-12,4.1692696893562355e-05,LMC,6097.9035563396565,-1.0365387804473951,18.729,0.018,18.708,0.008,18.462,0.008,18.471,0.01,18.508,0.03,Surveyphotometry.dat crossmatch,99.999,99.999,17.798,0.035,16.989,0.028,16.595,0.039,Surveyphotometry.dat crossmatch,15.072,0.034,13.756,0.034,10.836,0.096,8.489,0.286,Surveyphotometry.dat crossmatch
